Code,Session,MF_UNICMJ_RIGHT,PF_UNICMJ_RIGHT,MV_UNICMJ_RIGHT,PV_UNICMJ_RIGHT,MP_UNICMJ_RIGHT,PP_UNICMJ_RIGHT,CI-UNICMJ_RIGHT,JH_UNICMJ_RIGHT,MF_UNICMJ_LEFT,PF_UNICMJ_LEFT,MV_UNICMJ_LEFT,PV_UNICMJ_LEFT,MP_UNICMJ_LEFT,PP_UNICMJ_LEFT,CI-UNICMJ_LEFT,JH_UNICMJ_LEFT,MF_BICMJ_RIGHT,PF_BICMJ_RIGHT,MV_BICMJ_RIGHT,PV_BICMJ_RIGHT,MP_BICMJ_RIGHT,PP_BICMJ_RIGHT,CI-BICMJ_RIGHT,MF_BICMJ_LEFT,PF_BICMJ_LEFT,MV_BICMJ_LEFT,PV_BICMJ_LEFT,MP_BICMJ_LEFT,PP_BICMJ_LEFT,CI-BICMJ_LEFT
12,2,895.1,1044.9,0.79,1.46,686.1,1233.6,86.7,0.13,816.4,962.1,0.72,1.41,577.6,1191.3,82.3,0.12,487.5,593.3,1.02,1.74,455.2,836.6,49.0,525.8,592.6,1.47,2.65,727.4,1383.4,77.3
13,2,899.9,1054.7,0.78,1.41,661.4,1329.9,81.8,0.08,916.1,1098.7,0.81,1.42,692.3,1338.1,83.0,0.08,613.7,766.4,1.10,2.01,631.0,1260.1,67.4,547.4,729.8,0.81,1.81,448.4,1085.9,61.1
14,2,1079.3,1325.2,1.01,1.78,1009.4,1948.3,114.6,0.11,1142.7,1386.4,1.10,1.78,1122.2,1993.0,114.3,0.14,684.4,798.5,1.50,2.63,941.9,1745.3,87.2,748.8,889.5,1.57,2.76,1078.5,2014.1,96.4
15,2,985.4,1156.7,0.85,1.65,813.8,1658.1,107.6,0.12,987.9,1192.6,1.02,1.71,922.3,1674.2,105.9,0.12,618.0,741.3,1.07,1.89,608.5,1179.0,63.4,641.7,753.7,1.40,2.59,849.9,1681.3,84.7
16,2,798.5,953.1,0.90,1.67,681.7,1400.3,85.4,0.11,854.5,1050.7,0.94,1.67,747.2,1467.1,87.1,0.11,513.7,630.8,1.37,2.66,682.3,1431.0,74.0,577.0,664.9,1.91,3.50,1034.8,2025.9,97.4
17,2,982.5,1161.9,1.02,1.68,914.7,1594.8,101.4,0.12,935.5,1120.4,0.96,1.55,812.5,1435.7,87.4,0.11,638.3,740.2,1.24,2.16,732.1,1321.2,75.3,621.9,731.1,1.41,2.39,791.1,1393.3,73.8
18,2,969.8,1153.4,1.01,1.69,892.7,1585.5,101.9,0.12,1023.8,1218.5,1.05,1.74,973.1,1700.6,105.7,0.14,619.9,807.6,1.24,2.13,678.2,1196.5,73.8,656.4,842.5,1.55,2.68,902.7,1590.5,90.0
20,2,960.0,1124.7,1.31,2.21,1145.9,2083.3,124.4,0.14,946.8,1118.7,1.11,1.87,966.8,1701.7,106.9,0.12,611.7,748.1,1.53,2.51,829.5,1424.6,77.1,565.1,672.4,1.25,2.19,622.5,1202.7,66.6
22,2,1115.3,1463.0,1.11,2.16,1176.3,2719.4,145.7,0.17,1071.1,1390.9,0.87,1.73,900.6,2072.2,118.7,0.15,671.3,875.2,1.68,3.31,1097.1,2529.8,119.3,654.1,842.7,1.05,2.09,670.6,1545.5,81.8
23,2,1059.2,1255.4,1.24,2.23,1226.4,2390.3,138.6,0.21,1067.5,1206.2,1.22,2.12,1203.3,2191.5,132.5,0.22,626.4,789.6,1.62,2.84,940.6,1746.2,95.9,616.2,773.1,1.80,3.22,1038.7,1993.7,102.9
24,2,1422.1,1721.2,1.10,1.90,1438.0,2732.5,160.6,0.18,1402.2,1705.8,1.10,2.02,1454.8,2889.5,172.1,0.19,823.4,973.8,1.59,2.80,1215.4,2264.2,138.0,834.0,926.6,1.65,2.95,1275.3,2497.1,142.7
25,2,1101.6,1422.4,1.27,1.99,1220.2,2098.1,115.3,0.16,1080.5,1399.8,1.17,1.85,1109.9,1946.0,106.3,0.15,676.9,855.0,2.10,3.52,1255.4,2196.6,95.9,671.4,923.0,0.99,1.58,563.7,995.3,55.2
